93.94.181.41, RU, 2020-06-15 09:28:52, 1, country, Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:30:05, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:30:08, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:33:08, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:33:20, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:33:37, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:33:48, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:33:53, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:33:57, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:34:01, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:34:04, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:34:09, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:34:14, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:34:18, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:34:28, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML  like Gecko) Version/13.1.1 Safari/605.1.15,  
93.100.255.3, RU, 2020-06-15 09:34:35, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:34:53, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:35:01, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:35:09, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:35:17, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:35:21, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:35:26, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:35:29, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:35:51, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:36:04, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:36:10, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:36:20, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:36:26, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:36:38, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:37:26, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:37:34, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:37:43, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:37:54, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:37:59, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:39:10, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:39:52, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:40:16, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:41:01, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:41:04, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:41:18, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:41:19, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:41:26, 1, os, OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:41:50, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:42:43, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:44:21, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
188.170.75.212, RU, 2020-06-15 09:45:09, 0, , iOS, Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML  like Gecko) Version/13.1 Mobile/15E148 Safari/604.1,  
93.94.181.41, RU, 2020-06-15 09:46:49, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:46:52, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 09:48:24, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:50:34, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:51:36, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:51:40, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:56:57, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 09:59:49, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:04:04, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:04:43, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:05:37, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:06:30, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:08:27, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:09:07, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
5.101.158.31, RU, 2020-06-15 10:11:19, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
93.100.255.3, RU, 2020-06-15 10:17:01, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:23:59, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 10:24:00, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:25:42, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 10:25:46, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.94.181.41, RU, 2020-06-15 10:26:20, 0, , Windows, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/81.0.4044.138 YaBrowser/20.6.0.905 Yowser/2.5 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 10:26:20, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 10:27:51, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 10:29:31, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-15 10:30:32, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
188.170.76.198, RU, 2020-06-15 11:12:22, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
5.101.158.31, RU, 2020-06-15 12:14:07, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
188.170.82.65, RU, 2020-06-15 12:40:20, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
5.101.158.31, RU, 2020-06-15 14:19:41, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-15 16:23:55, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-15 18:18:24, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-15 20:18:36, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
188.170.85.190, RU, 2020-06-15 22:36:54, 0, , iOS, Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML  like Gecko) Version/13.1 Mobile/15E148 Safari/604.1,  
5.101.158.31, RU, 2020-06-16 02:11:43, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 04:11:31, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 06:11:17, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 08:16:45, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 10:14:46, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 12:24:59, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 14:17:08, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 16:32:08, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-16 18:33:36, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
93.100.255.3, RU, 2020-06-16 20:18:13, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-16 20:20:27, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
5.101.158.31, RU, 2020-06-16 20:22:49, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-17 00:10:50, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-17 02:14:35, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-17 04:09:36, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-17 06:12:59, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-17 08:19:01, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
93.100.255.3, RU, 2020-06-17 09:13:49, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
5.101.158.31, RU, 2020-06-18 00:15:45, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 02:15:48, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 04:21:22, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 06:18:19, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 08:19:30, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 10:12:40, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
5.101.158.31, RU, 2020-06-18 12:23:52, 1, ip, Linux, Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:59.0) Gecko/20100101 Firefox/59.0,  
93.100.255.3, RU, 2020-06-18 12:58:08, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-18 12:58:40, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
93.100.255.3, RU, 2020-06-18 13:01:55, 0, , OS X, Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML  like Gecko) Chrome/83.0.4103.61 Safari/537.36,  
